Provincia	Año	Poblacion
Buenos Aires	1869	307761
Buenos Aires	1895	921168
Buenos Aires	1914	2066948
Buenos Aires	1947	4273874
Buenos Aires	1960	6766108
Buenos Aires	1970	8774529
Buenos Aires	1980	10865408
Buenos Aires	1991	12594974
Buenos Aires	2001	13827203
Buenos Aires	2010	15625083
Buenos Aires	2020	17541141
Catamarca	1869	79962
Catamarca	1895	90161
Catamarca	1914	100769
Catamarca	1947	147213
Catamarca	1960	168231
Catamarca	1970	172323
Catamarca	1980	207717
Catamarca	1991	264234
Catamarca	2001	334568
Catamarca	2010	367828
Catamarca	2020	415438
Chaco	1869	45291
Chaco	1895	10422
Chaco	1914	46274
Chaco	1947	430555
Chaco	1960	543331
Chaco	1970	566613
Chaco	1980	701392
Chaco	1991	839677
Chaco	2001	984446
Chaco	2010	1055259
Chaco	2020	1204541
Chubut	1869	
Chubut	1895	3748
Chubut	1914	23065
Chubut	1947	92456
Chubut	1960	142412
Chubut	1970	189920
Chubut	1980	273116
Chubut	1991	357189
Chubut	2001	413234
Chubut	2010	509108
Chubut	2020	618994
Ciudad de Buenos Aires	1869	187346
Ciudad de Buenos Aires	1895	663854
Ciudad de Buenos Aires	1914	1575814
Ciudad de Buenos Aires	1947	2981043
Ciudad de Buenos Aires	1960	2966634
Ciudad de Buenos Aires	1970	2972453
Ciudad de Buenos Aires	1980	2922829
Ciudad de Buenos Aires	1991	2965403
Ciudad de Buenos Aires	2001	2776138
Ciudad de Buenos Aires	2010	2890151
Ciudad de Buenos Aires	2020	3075646
Córdoba	1869	210508
Córdoba	1895	351223
Córdoba	1914	735472
Córdoba	1947	1497975
Córdoba	1960	1753840
Córdoba	1970	2060065
Córdoba	1980	2060065
Córdoba	1991	2766683
Córdoba	2001	3066801
Córdoba	2010	3308876
Córdoba	2020	3760450
Corrientes	1869	129023
Corrientes	1895	255051
Corrientes	1914	347055
Corrientes	1947	525463
Corrientes	1960	533201
Corrientes	1970	564147
Corrientes	1980	661454
Corrientes	1991	795594
Corrientes	2001	930991
Corrientes	2010	992595
Corrientes	2020	1120801
Entre Ríos	1869	134271
Entre Ríos	1895	292019
Entre Ríos	1914	425373
Entre Ríos	1947	787362
Entre Ríos	1960	805357
Entre Ríos	1970	811691
Entre Ríos	1980	908313
Entre Ríos	1991	1020257
Entre Ríos	2001	1158147
Entre Ríos	2010	1235994
Entre Ríos	2020	1385961
Formosa	1869	
Formosa	1895	4829
Formosa	1914	19281
Formosa	1947	113790
Formosa	1960	178526
Formosa	1970	234075
Formosa	1980	295887
Formosa	1991	398413
Formosa	2001	486559
Formosa	2010	530162
Formosa	2020	605193
Jujuy	1869	49379
Jujuy	1895	49713
Jujuy	1914	77511
Jujuy	1947	166700
Jujuy	1960	241462
Jujuy	1970	302436
Jujuy	1980	410008
Jujuy	1991	512329
Jujuy	2001	611888
Jujuy	2010	673307
Jujuy	2020	770881
La Pampa	1869	21000
La Pampa	1895	25914
La Pampa	1914	101338
La Pampa	1947	169480
La Pampa	1960	158746
La Pampa	1970	172029
La Pampa	1980	208260
La Pampa	1991	259996
La Pampa	2001	299294
La Pampa	2010	318951
La Pampa	2020	358428
La Rioja	1869	48746
La Rioja	1895	69502
La Rioja	1914	79754
La Rioja	1947	110746
La Rioja	1960	128220
La Rioja	1970	136237
La Rioja	1980	164217
La Rioja	1991	220729
La Rioja	2001	289983
La Rioja	2010	333642
La Rioja	2020	393531
Mendoza	1869	65413
Mendoza	1895	116136
Mendoza	1914	277535
Mendoza	1947	588231
Mendoza	1960	824036
Mendoza	1970	973075
Mendoza	1980	1196228
Mendoza	1991	1412481
Mendoza	2001	1579651
Mendoza	2010	1738929
Mendoza	2020	1990338
Misiones	1869	3000
Misiones	1895	33163
Misiones	1914	53563
Misiones	1947	246396
Misiones	1960	361440
Misiones	1970	443020
Misiones	1980	588977
Misiones	1991	788915
Misiones	2001	965522
Misiones	2010	1101593
Misiones	2020	1261294
Neuquén	1869	
Neuquén	1895	14517
Neuquén	1914	28866
Neuquén	1947	86936
Neuquén	1960	109890
Neuquén	1970	154470
Neuquén	1980	243850
Neuquén	1991	388833
Neuquén	2001	474155
Neuquén	2010	551266
Neuquén	2020	664057
Río Negro	1869	
Río Negro	1895	9241
Río Negro	1914	42242
Río Negro	1947	134350
Río Negro	1960	193292
Río Negro	1970	262622
Río Negro	1980	383354
Río Negro	1991	506772
Río Negro	2001	552822
Río Negro	2010	638645
Río Negro	2020	747610
Salta	1869	88933
Salta	1895	118015
Salta	1914	142156
Salta	1947	290826
Salta	1960	412854
Salta	1970	509803
Salta	1980	662870
Salta	1991	866153
Salta	2001	1079051
Salta	2010	1214441
Salta	2020	1424397
San Juan	1869	60319
San Juan	1895	84450
San Juan	1914	119252
San Juan	1947	261229
San Juan	1960	352387
San Juan	1970	384284
San Juan	1980	465976
San Juan	1991	528715
San Juan	2001	620023
San Juan	2010	681055
San Juan	2020	781217
San Luis	1869	53294
San Luis	1895	81450
San Luis	1914	116266
San Luis	1947	165546
San Luis	1960	174316
